Tamanho,Forca Bruta (execucoes) s,Euclides (execucoes) s,Euclides Iterativo (execucoes) s,Tempo médio (força bruta) s,Tempo médio (Euclides) s,Tempo médio (Euclides Iterativo) s
10,"[0.0010652999990270473, 0.001062900002580136, 0.0010624999995343387, 0.0010624999995343387, 0.0010619000022416003]","['0.000011700001778', '0.000010600000678', '0.000010600000678', '0.000010600000678', '0.000010299998394']","['0.000005999994755', '0.000005199995940', '0.000005100002454', '0.000005100002454', '0.000005200003216']",0.0010630200005834923,1.07600004412e-05,5.3199997638000006e-06
25,"[0.002617300000565592, 0.002614600001834333, 0.0028545000022859313, 0.00261540000064997, 0.0026159000044572167]","['0.000026200003049', '0.000023900000087', '0.000023699998565', '0.000022699998226', '0.000022899999749']","['0.000012699994841', '0.000011899996025', '0.000011899996025', '0.000011799995264', '0.000011799995264']",0.0026635400019586085,2.38799999352e-05,1.20199954838e-05
50,"[0.008024599999771453, 0.0080521999989287, 0.008063100001891144, 0.007914800000435207, 0.008283299997856375]","['0.000052399998822', '0.000049800000852', '0.000049900001613', '0.000049599999329', '0.000049900001613']","['0.000026299996534', '0.000025399996957', '0.000025300003472', '0.000025300003472', '0.000025400004233']",0.008067599999776576,5.0320000445800006e-05,2.55400009336e-05
75,"[0.012979200000700075, 0.013281100000313018, 0.013136699999449775, 0.013831799995386973, 0.01342339999973774]","['0.000082899998233', '0.000079299999925', '0.000078199998825', '0.000078400000348', '0.000078800003394']","['0.000041000006604', '0.000040300001274', '0.000040099999751', '0.000040099999751', '0.000039899998228']",0.013330439999117516,7.9520000145e-05,4.02800011216e-05
100,"[0.016245500002696645, 0.015962800003762823, 0.016900800001167227, 0.016192299997783266, 0.015750200000184122]","['0.000105400002212', '0.000098799995612', '0.000097600001027', '0.000097199997981', '0.000097299998743']","['0.000051200004236', '0.000049700000091', '0.000049800000852', '0.000049200003559', '0.000049199996283']",0.016210320001118817,9.9259999115e-05,4.98200010042e-05
150,"[0.026043900004879106, 0.02628050000203075, 0.026090100000146776, 0.027079300001787487, 0.026358999995863996]","['0.000156100002641', '0.000147300001117', '0.000145999998495', '0.000147099999595', '0.000146099999256']","['0.000075800002378', '0.000074299998232', '0.000074200004747', '0.000073999995948', '0.000074099996709']",0.026370560000941623,0.0001485200002208,7.44799996028e-05
200,"[0.034224499999254476, 0.03398640000523301, 0.0338188000023365, 0.03409239999746205, 0.03375499999674503]","['0.000206899996556', '0.000192900006368', '0.000192899999092', '0.000193899999431', '0.000191999999515']","['0.000099500000942', '0.000098199998320', '0.000097900003311', '0.000098199998320', '0.000098299999081']",0.033975420000206216,0.0001957200001924,9.841999999480001e-05
250,"[0.039034400004311465, 0.03881820000242442, 0.038715599999704864, 0.03858010000112699, 0.038592299999436364]","['0.000248799995461', '0.000244800001383', '0.000243499998760', '0.000244900002144', '0.000243200003752']","['0.000123300000269', '0.000122299999930', '0.000121800003399', '0.000121700002637', '0.000122299999930']",0.03874812000140082,0.0002450400003,0.00012228000123299998
300,"[0.0446455000055721, 0.045470500001101755, 0.04688160000659991, 0.045799500003340654, 0.04450630000064848]","['0.000299499995890', '0.000290300005872', '0.000288299997919', '0.000288099996396', '0.000287100003334']","['0.000147500002640', '0.000146099999256', '0.000145900005009', '0.000146099999256', '0.000146099999256']",0.04546068000345258,0.00029065999988219996,0.0001463400010834
400,"[0.07125690000248142, 0.07664569999906234, 0.07640530000207946, 0.07698649999656482, 0.07877500000176951]","['0.000403300000471', '0.000388799999200', '0.000388400003430', '0.000387799998862', '0.000387000000046']","['0.000278799998341', '0.000316199999361', '0.000216299995373', '0.000222800001211', '0.000197900000785']",0.07601388000039151,0.00039106000040179994,0.00024639999901420004
500,"[0.07818140000017593, 0.09028489999764133, 0.09198010000545764, 0.09052059999521589, 0.0914723000023514]","['0.000560899999982', '0.000507900003868', '0.000556899998628', '0.000695400005498', '0.000939600002312']","['0.000443299999461', '0.000282000000880', '0.000653700000839', '0.000331300005200', '0.000390199995309']",0.08848786000016844,0.0006521400020576,0.0004201000003378
650,"[0.11528600000019651, 0.10984300000563962, 0.11304820000077598, 0.10774020000098972, 0.11636859999998705]","['0.000661400001263', '0.000754100001359', '0.000704099998984', '0.001153199998953', '0.000907400004508']","['0.000440099996922', '0.000370400004613', '0.000355700001819', '0.000335899996571', '0.000325599998177']",0.11245720000151778,0.0008360400010134,0.00036553999962040003
800,"[0.14522890000080224, 0.17298969999683322, 0.13787459999730345, 0.14468189999752212, 0.15026770000258693]","['0.000854000005347', '0.000841299995955', '0.000854999998410', '0.000837200001115', '0.000820300003397']","['0.000492399994982', '0.000417600000219', '0.000434300003690', '0.000417000002926', '0.000434299996414']",0.1502085599990096,0.0008415600008448,0.0004391199996462
1000,"[0.1830441999991308, 0.1839140999945812, 0.17026420000183862, 0.16454589999921154, 0.16755009999906179]","['0.000993699999526', '0.000978199997917', '0.001043900003424', '0.001024299999699', '0.001003999997920']","['0.000510799996846', '0.000532500002009', '0.000531900004717', '0.000575099998969', '0.000541200002772']",0.17386369999876478,0.0010088199996972,0.0005383000010626
1500,"[0.2711498999997275, 0.26301539999985835, 0.26136070000211475, 0.256235499997274, 0.2639930999939679]","['0.001593199995114', '0.001927600002091', '0.001598299997568', '0.001479899998230', '0.001566700004332']","['0.000810400000773', '0.000804600000265', '0.000852600001963', '0.000741399999242', '0.000742500000342']",0.26315091999858853,0.0016331399994670003,0.000790300000517
2000,"[0.323149600000761, 0.31630170000426006, 0.31759169999713777, 0.3162928000019747, 0.3143465000030119]","['0.001958000000741', '0.001938200002769', '0.001985199996852', '0.001952999999048', '0.001930500002345']","['0.000983199999609', '0.000981400000455', '0.000980700002401', '0.000980199998594', '0.000979800002824']",0.3175364600014291,0.0019529800003509998,0.0009810600007766
5000,"[0.8914357000030577, 0.8202297000025283, 0.8714232999991509, 0.8949099000019487, 0.982148099996266]","['0.005242300001555', '0.005381900002249', '0.006049100004020', '0.005264300001727', '0.005652100000589']","['0.003470499999821', '0.002646200002346', '0.002644100000907', '0.002736300004472', '0.002800099995511']",0.8920293400005903,0.005517940002028,0.0028594400006114002
