Tamanho,Forca Bruta (tempo médio) ms,Euclides (tempo médio) ms,Euclides Iterativo (tempo médio) ms
10,1.0630200005834922,0.010760000441199999,0.0053199997638
25,2.6635400019586086,0.0238799999352,0.0120199954838
50,8.067599999776576,0.050320000445800005,0.0255400009336
75,13.330439999117516,0.079520000145,0.0402800011216
100,16.210320001118816,0.099259999115,0.0498200010042
150,26.370560000941623,0.1485200002208,0.07447999960280001
200,33.97542000020621,0.1957200001924,0.09841999999480001
250,38.74812000140082,0.2450400003,0.12228000123299998
300,45.46068000345258,0.2906599998822,0.1463400010834
400,76.01388000039151,0.39106000040179995,0.24639999901420004
500,88.48786000016844,0.6521400020576,0.42010000033780004
650,112.45720000151778,0.8360400010134,0.3655399996204
800,150.2085599990096,0.8415600008448,0.43911999964619997
1000,173.8636999987648,1.0088199996972,0.5383000010626
1500,263.1509199985885,1.6331399994670004,0.790300000517
2000,317.5364600014291,1.9529800003509998,0.9810600007766
5000,892.0293400005903,5.517940002028,2.8594400006114
